Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Boiled eggs,low
non-veg,Paratha with curd,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Egg sandwich,Baked fish with quinoa,High-protein pasta,Granola bars,Egg sandwich; Baked fish with quinoa; High-protein pasta; Granola bars,high
vegan,Low-fat yogurt with berries,Brown rice with spinach curry,Light tofu stir-fry,Roasted seeds,Low-fat yogurt with berries; Brown rice with spinach curry; Light tofu stir-fry; Roasted seeds,low
veg,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
veg,Upma with vegetables,paneer salad with whole grain bread,Grilled paneer with salad,Boiled tofu,Upma with vegetables; paneer salad with whole grain bread; Grilled paneer with salad; Boiled tofu,low
veg,tofu sandwich,paneer curry with brown rice,High-protein pasta,Granola bars,tofu sandwich; paneer curry with brown rice; High-protein pasta; Granola bars,low
veg,Protein shake with banana,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
vegan,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
vegan,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Granola bars,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Granola bars,high
vegan,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars,high
vegan,Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits,low
veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Boiled tofu,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Boiled tofu,low
non-veg,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,high
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Low-fat yogurt with berries; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
vegan,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Granola bars,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Granola bars,low
veg,tofu sandwich,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,tofu sandwich; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Oats with almond milk; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
veg,tofu sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,tofu sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
vegan,Paratha with curd,Baked fish with quinoa,Turkey chili,Granola bars,Paratha with curd; Baked fish with quinoa; Turkey chili; Granola bars,high
vegan,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,high
veg,Oats with banana and nuts,paneer salad with whole grain bread,Grilled paneer with salad,Boiled tofu,Oats with banana and nuts; paneer salad with whole grain bread; Grilled paneer with salad; Boiled tofu,low
vegan,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,low
vegan,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,Paratha with curd,Rajma chawal with salad,tofu chili,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; tofu chili; Nut mix with raisins,low
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Granola bars,Protein shake with banana; Baked fish with quinoa; Turkey chili; Granola bars,high
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Fruit and chia seeds,Zucchini noodles with tomato sauce,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Zucchini noodles with tomato sauce; Light tofu stir-fry; Apple slices with peanut butter,high
vegan,Paratha with curd,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
veg,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
veg,Multigrain toast with tofu,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with tofu; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs,low
vegan,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars,high
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
vegan,Low-fat yogurt with berries,Brown rice with spinach curry,Soup with whole grain toast,Roasted seeds,Low-fat yogurt with berries; Brown rice with spinach curry; Soup with whole grain toast; Roasted seeds,low
veg,Oats with banana and nuts,Lentil curry with rice,Grilled paneer with salad,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Grilled paneer with salad; Nuts and dry fruits,low
non-veg,Oats with almond milk,Zucchini noodles with tomato sauce,Soup with whole grain toast,Roasted seeds,Oats with almond milk; Zucchini noodles with tomato sauce; Soup with whole grain toast; Roasted seeds,high
non-veg,Paratha with curd,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
vegan,Paratha with curd,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Boiled tofu,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Boiled tofu,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,tofu sandwich,Baked tofu with quinoa,tofu chili,Granola bars,tofu sandwich; Baked tofu with quinoa; tofu chili; Granola bars,high
non-veg,Protein shake with banana,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Turkey chili; Nut mix with raisins,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Vegetable biryani,Nuts and dry fruits,Multigrain toast with tofu; paneer salad with whole grain bread; Vegetable biryani; Nuts and dry fruits,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs,low
veg,Low-fat yogurt with berries,Brown rice with spinach curry,Quinoa salad with steamed veggies,Roasted seeds,Low-fat yogurt with berries; Brown rice with spinach curry; Quinoa salad with steamed veggies; Roasted seeds,low
veg,Oats with banana and nuts,paneer salad with whole grain bread,Grilled paneer with salad,Boiled tofu,Oats with banana and nuts; paneer salad with whole grain bread; Grilled paneer with salad; Boiled tofu,low
vegan,Egg sandwich,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
non-veg,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
veg,Multigrain toast with tofu,Paneer wrap with veggies,Grilled paneer with salad,Nuts and dry fruits,Multigrain toast with tofu; Paneer wrap with veggies; Grilled paneer with salad; Nuts and dry fruits,low
vegan,Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins,low
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Granola bars,Paratha with curd; Chicken curry with brown rice; Turkey chili; Granola bars,low
veg,tofu sandwich,Baked tofu with quinoa,High-protein pasta,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; High-protein pasta; Nut mix with raisins,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks,low
non-veg,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
veg,tofu sandwich,Rajma chawal with salad,tofu chili,Nut mix with raisins,tofu sandwich; Rajma chawal with salad; tofu chili; Nut mix with raisins,low
non-veg,Oats with almond milk,Zucchini noodles with tomato sauce,Soup with whole grain toast,Cucumber sticks,Oats with almond milk; Zucchini noodles with tomato sauce; Soup with whole grain toast; Cucumber sticks,high
vegan,Fruit and chia seeds,Brown rice with spinach curry,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Brown rice with spinach curry; Light tofu stir-fry; Apple slices with peanut butter,low
vegan,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Light tofu stir-fry,Cucumber sticks,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Light tofu stir-fry; Cucumber sticks,low
vegan,Multigrain toast with egg,Lentil curry with rice,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Grilled chicken with salad; Nuts and dry fruits,low
veg,Oats with almond milk,Brown rice with spinach curry,Soup with whole grain toast,Apple slices with peanut butter,Oats with almond milk; Brown rice with spinach curry; Soup with whole grain toast; Apple slices with peanut butter,low
vegan,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
veg,tofu sandwich,paneer curry with brown rice,Stuffed paneer chapati with salad,Granola bars,tofu sandwich; paneer curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Banana and peanut butter,low
veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Apple slices with peanut butter,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Apple slices with peanut butter,low
non-veg,Egg sandwich,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,low
veg,tofu sandwich,Baked tofu with quinoa,tofu chili,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; tofu chili; Nut mix with raisins,low
non-veg,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
non-veg,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Vegetable biryani,Boiled tofu,Multigrain toast with tofu; paneer salad with whole grain bread; Vegetable biryani; Boiled tofu,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Granola bars,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Light tofu stir-fry,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Light tofu stir-fry; Cucumber sticks,low
vegan,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
vegan,Egg sandwich,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
vegan,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
vegan,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
vegan,Egg sandwich,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
veg,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Granola bars,Protein shake with banana; Baked fish with quinoa; Turkey chili; Granola bars,high
