Recipe,Ingredient,Alternative_1,Alternative_2,Alternative_3
Chicken curry with brown rice,Chicken pieces,Chicken thighs,Turkey,Paneer
Chicken curry with brown rice,Curry powder,Garam masala,Thai curry paste,Turmeric + spices
Chicken curry with brown rice,Coconut milk,Heavy cream,Cashew cream,Yogurt
Chicken curry with brown rice,Brown rice,White rice,Quinoa,Cauliflower rice
Rajma chawal with salad,Red kidney beans,Black beans,Pinto beans,Chickpeas
Rajma chawal with salad,Basmati rice,Jasmine rice,Brown rice,Quinoa
Rajma chawal with salad,Coriander powder,Cumin powder,Garam masala,Curry powder
Rajma chawal with salad,Mixed salad vegetables,Cucumber + tomato,Lettuce + carrot,Cabbage slaw
Grilled vegetables with lentils,Zucchini,Yellow squash,Eggplant,Bell peppers
Grilled vegetables with lentils,Eggplant,Mushrooms,Tomatoes,Onions
Grilled vegetables with lentils,Lentils,Split peas,Chickpeas,Black beans
Grilled vegetables with lentils,Herbs,Italian seasoning,Thyme,Rosemary
Baked fish with quinoa,White fish fillet,Salmon,Cod,Tilapia
Baked fish with quinoa,Dill,Parsley,Thyme,Oregano
Baked fish with quinoa,Quinoa,Brown rice,Millet,Bulgur wheat
Baked fish with quinoa,Vegetable broth,Chicken broth,Fish stock,Water
Lentil curry with rice,Lentils,Split peas,Chickpeas,Black beans
Lentil curry with rice,Basmati rice,Brown rice,Quinoa,Millet
Lentil curry with rice,Coriander powder,Cumin powder,Curry powder,Garam masala
Zucchini noodles with tomato sauce,Zucchini,Yellow squash,Cucumber,Spaghetti squash
Zucchini noodles with tomato sauce,Tomatoes,Canned tomatoes,Tomato sauce,Bell peppers
Zucchini noodles with tomato sauce,Basil,Oregano,Thyme,Parsley
Zucchini noodles with tomato sauce,Parmesan cheese,Nutritional yeast,Pecorino,Mozzarella
Brown rice with spinach curry,Brown rice,White rice,Quinoa,Millet
Brown rice with spinach curry,Fresh spinach,Frozen spinach,Kale,Swiss chard
Upma with vegetables,Semolina,Quinoa,Bulgur wheat,Oats
Upma with vegetables,Carrots,Bell peppers,Zucchini,Green beans
Upma with vegetables,Peas,Corn,Lima beans,Edamame
Upma with vegetables,Mustard seeds,Cumin seeds,Fennel seeds,Sesame seeds
Upma with vegetables,Curry leaves,Bay leaves,Cilantro,Mint
Oats with banana and nuts,Rolled oats,Steel-cut oats,Quinoa flakes,Muesli
Oats with banana and nuts,Banana,Apple,Berries,Mango
Oats with banana and nuts,Almonds,Walnuts,Pecans,Cashews
Oats with banana and nuts,Milk,Almond milk,Oat milk,Coconut milk
Oats with banana and nuts,Honey,Maple syrup,Agave,Stevia
Oats with banana and nuts,Cinnamon,Nutmeg,Cardamom,Vanilla
Protein shake with banana,Protein powder,Greek yogurt,Silken tofu,Nut butter
Protein shake with banana,Banana,Mango,Berries,Apple
Protein shake with banana,Milk,Almond milk,Oat milk,Coconut milk
Protein shake with banana,Honey,Maple syrup,Dates,Stevia
Protein shake with banana,Ice cubes,Frozen fruit,Chilled milk,Coconut ice
Multigrain toast with egg,Multigrain bread,Whole wheat bread,Sourdough,Rye bread
Multigrain toast with egg,Eggs,Egg whites,Tofu scramble,Chickpea flour omelet
Multigrain toast with egg,Butter,Margarine,Olive oil,Avocado
Paratha with curd,Whole wheat flour,All-purpose flour,Chickpea flour,Millet flour
Paratha with curd,Ghee,Butter,Oil,Coconut oil
Paratha with curd,Plain yogurt,Greek yogurt,Buttermilk,Kefir
Paratha with curd,Cumin powder,Coriander powder,Chat masala,Black pepper
Oats with almond milk,Rolled oats,Steel-cut oats,Quinoa flakes,Chia seeds
Oats with almond milk,Almond milk,Oat milk,Coconut milk,Soy milk
Oats with almond milk,Honey,Maple syrup,Agave,Date syrup
Oats with almond milk,Berries,Banana,Apple,Mango
Oats with almond milk,Nuts,Seeds,Granola,Coconut flakes
Egg sandwich,Bread slices,Bagel,English muffin,Tortilla
Egg sandwich,Eggs,Egg whites,Egg substitute,Tofu scramble
Egg sandwich,Butter,Margarine,Mayo,Avocado
Egg sandwich,Tomatoes,Cucumber,Lettuce,Spinach
Egg sandwich,Lettuce,Spinach,Arugula,Cabbage
Fruit and chia seeds,Mixed fresh fruits,Single fruit,Frozen fruits,Dried fruits
Fruit and chia seeds,Chia seeds,Flax seeds,Hemp seeds,Pumpkin seeds
Fruit and chia seeds,Honey,Maple syrup,Agave,Date paste
Fruit and chia seeds,Greek yogurt,Regular yogurt,Coconut yogurt,Kefir
Low-fat yogurt with berries,Low-fat Greek yogurt,Regular yogurt,Skyr,Kefir
Low-fat yogurt with berries,Mixed berries,Single berries,Frozen berries,Dried berries
Low-fat yogurt with berries,Honey,Maple syrup,Stevia,Agave
Low-fat yogurt with berries,Granola,Muesli,Nuts,Seeds
Fruit smoothie,Mixed fruits,Single fruit,Frozen fruits,Fruit juice
Fruit smoothie,Banana,Mango,Pineapple,Avocado
Fruit smoothie,Berries,Grapes,Peaches,Kiwi
Fruit smoothie,Mango,Pineapple,Papaya,Peach
Fruit smoothie,Yogurt,Greek yogurt,Kefir,Silken tofu
Fruit smoothie,Milk,Almond milk,Coconut milk,Fruit juice
Fruit smoothie,Honey,Maple syrup,Dates,Agave
Fruit smoothie,Ice,Frozen fruit,Chilled ingredients,Coconut ice
Boiled eggs,Eggs,Duck eggs,Quail eggs,Egg substitute
Boiled eggs,Water,Vegetable broth,Milk,Steam
Boiled eggs,Salt,Sea salt,Herb salt,Pepper
Banana and peanut butter,Banana,Apple,Celery,Crackers
Banana and peanut butter,Natural peanut butter,Almond butter,Cashew butter,Sunflower seed butter
Nuts and dry fruits,Almonds,Walnuts,Cashews,Pecans
Nuts and dry fruits,Walnuts,Pistachios,Brazil nuts,Hazelnuts
Nuts and dry fruits,Cashews,Macadamias,Pine nuts,Almonds
Nuts and dry fruits,Raisins,Dried cranberries,Dates,Figs
Nuts and dry fruits,Dates,Apricots,Prunes,Raisins
Nuts and dry fruits,Figs,Dried mango,Dried pineapple,Dried banana
Cucumber sticks,Cucumber,Celery,Carrot sticks,Bell pepper strips
Cucumber sticks,Salt,Sea salt,Chat masala,Herb salt
Cucumber sticks,Lemon juice,Lime juice,Vinegar,Orange juice
Cucumber sticks,Chat masala,Cumin powder,Black pepper,Paprika
Granola bars,Oats,Quinoa flakes,Puffed rice,Muesli
Granola bars,Nuts,Seeds,Dried fruit,Coconut
Granola bars,Dried fruits,Fresh fruit,Fruit puree,Jam
Granola bars,Honey,Maple syrup,Brown rice syrup,Date paste
Granola bars,Coconut oil,Butter,Nut butter,Ghee
Granola bars,Seeds,Nuts,Chocolate chips,Coconut flakes
Nut mix with raisins,Almonds,Walnuts,Cashews,Pistachios
Nut mix with raisins,Cashews,Pecans,Brazil nuts,Hazelnuts
Nut mix with raisins,Walnuts,Macadamias,Pine nuts,Almonds
Nut mix with raisins,Raisins,Dried cranberries,Dried cherries,Dates
Nut mix with raisins,Salt,Sea salt,Spice blend,Herb salt
Roasted seeds,Pumpkin seeds,Sunflower seeds,Sesame seeds,Flax seeds
Roasted seeds,Sunflower seeds,Chia seeds,Hemp seeds,Poppy seeds
Roasted seeds,Salt,Sea salt,Spice blend,Garlic powder
Roasted seeds,Spices,Herbs,Nutritional yeast,Parmesan
Apple slices with peanut butter,Apple,Pear,Banana,Celery
Apple slices with peanut butter,Natural peanut butter,Almond butter,Cashew butter,Sunflower seed butter
Apple slices with peanut butter,Cinnamon,Nutmeg,Cardamom,Vanilla powderMultigrain toast with tofu,Multigrain bread,Whole wheat bread,Rye bread,Oat bread
Multigrain toast with tofu,Tofu,Tempeh,Seitan,Edamame
Multigrain toast with tofu,Olive oil,Coconut oil,Avocado oil,Vegetable oil
Multigrain toast with tofu,Salt,Sea salt,Himalayan salt,Kosher salt
Multigrain toast with tofu,Pepper,Black pepper,White pepper,Cayenne pepper
Multigrain toast with tofu,Garlic,Garlic powder,Shallots,Onion
Multigrain toast with tofu,"Fresh herbs (e.g., parsley or basil)",Dried herbs,Spinach,Arugula
Multigrain toast with tofu,Multigrain bread,Whole grain bread,Rye bread,Seeded bread
Multigrain toast with tofu,Tofu,Tempeh,Paneer,Seitan
Multigrain toast with tofu,Olive oil,Coconut oil,Avocado oil,Vegetable oil
Multigrain toast with tofu,Salt,Sea salt,Kosher salt,Himalayan pink salt
Multigrain toast with tofu,Pepper,Black pepper,White pepper,Chili flakes
Multigrain toast with tofu,"Herbs (e.g., basil, parsley)",Spinach,Cilantro,Chives
paneer salad with whole grain bread,paneer,tofu,cheese,seitan
paneer salad with whole grain bread,mixed greens,spinach,arugula,lettuce
paneer salad with whole grain bread,cherry tomatoes,regular tomatoes,bell peppers,cucumbers
paneer salad with whole grain bread,cucumber,zucchini,celery,bell pepper
paneer salad with whole grain bread,olive oil,vegetable oil,avocado oil,canola oil
paneer salad with whole grain bread,lemon juice,lime juice,vinegar,citric acid
paneer salad with whole grain bread,salt,sea salt,kosher salt,flavored salt
paneer salad with whole grain bread,black pepper,white pepper,cayenne pepper,paprika
paneer salad with whole grain bread,whole grain bread,rye bread,multigrain bread,sourdough bread
